auction	rent_returned_sol	closed_by	signature
DQecE5Z3bRhYKp8QJ1zgcqTnk8XWjAQFxa1smtDoxxVs	0.018328640	railway keeper	644FfE93CDhm2YX47MUSHNic9dtaQCJ99PBbsjCfe9RsXVpBpD9VGhDv8aiDjGyKaLzkKYn9inp1stG3pPyTjyP4
DWULaSrtqb3Qzyp2oDGAm6P6x39AwZVobvh7GuxNSb9s	0.018328640	recovery run	4vm4h7eqgYeXrYa1exzUEju4mw9ay7Rm92xXTYsjbbbcXjUdVfShmjfarGeJHN6p4vYfGb5siHBZ6EuHPxJqqWmR
DWytrbMh9oFyjBHp1UpJPd23CFsJ2aeawzv5uEnpuVMm	0.018328640	railway keeper	2tsScoaoezfSvD6ir9pL36ZqZDBAH8sGvrSW9P25t62PCKMY6Z45PYhHfatc9ydJ9y7QoqqgKTPQV67tUkHt4p7d
DaVHQeYEAKHB1yMqQLbE5wnDqhqQ9R1h41jRMUvro3f8	0.018328640	recovery run	3uQcpSsvWqQ2Uk7DuQYqArUQMkze4rLpwy9R9FL7xwevf4AmT1boudjLNsGPMv86tWPn6G6Rg31tsgXUmk69vss5
DaxYxQsSYFBr11fckW6gewNmaBkzDLMWL8XiDwDaL2VG	0.018328640	railway keeper	5LG5roxBLSKLLcx12aJPsqkxGTpVyi7XgVTLNyNbwLysgWLDFWWQu9GioMEfphpDxyfdwe5dUxFxFQuydcUJL4Xg
DdakXswWMfMYertCXrKSnBhLMgMSHC8WMvSSst7fxkao	0.018328640	recovery run	3swqrHi7GApjLRGgjvj4FmDc2gzdpaupgsJZvh2PvyuDPpFBsuBjNuKby8S7piZ2SW5uvN9Jc9uoq5Yn9XzzWVNd
EGb1FBEUM5SsbdHkr4MN5pBxD6fGU1VifdJS6tWidymg	0.018328640	railway keeper	wET7HQEXJpVjGgf7E4w4rcvviBT8FMMr7yTEpCgjrKxRfobEJjHVF1nqq3sJvxHDwwsNMVmx7XN9d37QMsi8bbg
EPMJC6mxfj796qvbQLjggWrYvmTUSnxJ3WLk6ANPE6DF	0.018328640	recovery run	AwaqXJLYtfFoGJq9cfwQh38wFiF1jF8m3akJGz1XDH1yR5NZgApw3tm5hcHdGEVVC6MBRvdby3Sqb8DhhT9CcjX
EZnERubZtD6P4weTzcTGRX6X7CBjg7DS1niEAPDrdsmg	0.018328640	recovery run	5Cey1yxsYopEidfEsGSqHJjkVuGx7EES9HvBsHiWddnnU2AodxYktwWucLJcgtuh4HQNbBwxN1QTAF8E5cs8fG7j
EekyTLjCQiANByRFCshurC1FDZLDuW8MzRyAEENvmNTT	0.018328640	recovery run	q4CyxPBvULNtbJdX9bgijXaHzcLTjun96p1HXXoGNtg42CsJEhXBrv9q2vsuknXmHEBo3aRn5UutNZJK6RXzp7A
